Threads,Avg,Min,Max,Total 
1,0.09772537827,0.080246587,0.123699081,9.772537827 
2,0.08259500478,0.065345359,0.103844044,8.259500478 
4,0.08108263594,0.062602173,0.146280115,8.108263594 
8,0.07386394656,0.055901256,0.092025315,7.386394656 
16,0.07020666233,0.054781928,0.08665948,7.020666233 
32,0.0757589898,0.05607,0.118881,7.57589898 
64,0.07123646701,0.053316623,0.084769827,7.123646701 
128,0.07842035892,0.062768865,0.101063396,7.842035892 
256,0.07740651089,0.058797944,0.094638335,7.740651089 
512,0.07705344699,0.062965624,0.091505476,7.705344699 
1028,0.1054547773,0.092182324,0.121797054,10.54547773